sourcedId,status,dateLastModified,title,grades,courseSourcedId,classCode,classType,location,schoolSourcedId,termSourcedIds,subjects,subjectCodes,periods
001552115,,,ARTS 1303,,0015521,,scheduled,2216,024901001,024901-2,,,05
001552116,,,ARTS 1303,,0015521,,scheduled,2216,024901001,024901-2,,,06
001552117,,,ARTS 1303,,0015521,,scheduled,2216,024901001,024901-2,,,07
001552118,,,ARTS 1303,,0015521,,scheduled,2216,024901001,024901-2,,,08
001560006,,,ADAPTIVE PE,,0015600,,scheduled,GYM,024901001,024901-3,,,06
001560206,,,IND/TEAM SPORT,,0015602,,scheduled,GYM,024901001,024901-3,,,06
001560207,,,IND/TEAM SPORT,,0015602,,homeroom,GYM,024901001,024901-3,,,07
001560301,,,PE SUB MAR BAND,,0015603,,scheduled,BH,024901001,024901-1,,,01
001560302,,,PE SUB MAR BAND,,0015603,,scheduled,,024901001,024901-1,,,02
001560604,,,ATHLETICS 1 B,,0015606,,scheduled,,024901001,024901-3,,,04
001560704,,,ATHLETICS 2 B,,0015607,,scheduled,GYM,024901001,024901-3,,,04
001560804,,,ATHLETICS 3 B,,0015608,,scheduled,GYM,024901001,024901-3,,,04
001560904,,,ATHLETICS 4 B,,0015609,,scheduled,GYM,024901001,024901-3,,,04
001561008,,,ATHLETICS 1 G,,0015610,,scheduled,GYM,024901001,024901-3,,,08
001561108,,,ATHLETICS 2 G,,0015611,,scheduled,GYM,024901001,024901-3,,,08
001561208,,,ATHLETICS 3 G,,0015612,,scheduled,GYM,024901001,024901-3,,,08
001561308,,,ATHLETICS 4 G,,0015613,,scheduled,GYM,024901001,024901-3,,,08
001561401,,,KINE 1346,,0015614,,scheduled,LIBR,024901001,024901-1,,,01
001561402,,,KINE 1346,,0015614,,scheduled,LIBR,024901001,024901-1,,,02
001561403,,,KINE 1346,,0015614,,scheduled,LIBR,024901001,024901-1,,,03
001561404,,,KINE 1346,,0015614,,scheduled,LIBR,024901001,024901-1,,,04
001561405,,,KINE 1346,,0015614,,scheduled,LIBR,024901001,024901-1,,,05
001561406,,,KINE 1346,,0015614,,scheduled,LIBR,024901001,024901-1,,,06
001561407,,,KINE 1346,,0015614,,homeroom,LIBR,024901001,024901-1,,,07
001561408,,,KINE 1346,,0015614,,scheduled,LIBR,024901001,024901-1,,,08
001569701,,,BUSI 1301,,0015697,,scheduled,LIBR,024901001,024901-1,,,01
001569702,,,BUSI 1301,,0015697,,scheduled,LIBR,024901001,024901-1,,,02
001569703,,,BUSI 1301,,0015697,,scheduled,LIBR,024901001,024901-1,,,03
001569704,,,BUSI 1301,,0015697,,scheduled,LIBR,024901001,024901-1,,,04
001569705,,,BUSI 1301,,0015697,,scheduled,LIBR,024901001,024901-1,,,05
001569706,,,BUSI 1301,,0015697,,scheduled,LIBR,024901001,024901-1,,,06
001569707,,,BUSI 1301,,0015697,,scheduled,LIBR,024901001,024901-1,,,07
001569708,,,BUSI 1301,,0015697,,scheduled,LIBR,024901001,024901-1,,,08
001569806,,,HPRS 1201,,0015698,,scheduled,LIBR,024901001,024901-1,,,06
001569816,,,HPRS 1201,,0015698,,scheduled,2216,024901001,024901-1,,,06
001569901,,,PLAB1023,,0015699,,scheduled,LIBR,024901001,024901-2,,,01
001570001,,,ECRD 1011,,0015700,,scheduled,LIBR,024901001,024901-1,,,01
001570103,,,Health,,0015701,,scheduled,1241,024901001,024901-1,,,03
001570106,,,Health,,0015701,,scheduled,1241,024901001,024901-1,,,06
001570107,,,Health,,0015701,,homeroom,1241,024901001,024901-1,,,07
001570113,,,Health,,0015701,,scheduled,1241,024901001,024901-2,,,03
001570116,,,Health,,0015701,,scheduled,1241,024901001,024901-2,,,06
001570117,,,Health,,0015701,,homeroom,1241,024901001,024901-2,,,07
001570401,,,FLORAL DESIGN,,0015704,,homeroom,AG,024901001,024901-3,,,01
001570404,,,FLORAL DESIGN,,0015704,,homeroom,AG,024901001,024901-3,,,04
001570905,,,COLLEGE RSS,,0015709,,scheduled,2216,024901001,024901-3,,,05
001570908,,,COLLEGE RSS,,0015709,,scheduled,2216,024901001,024901-3,,,08
001571101,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-1,,,01
001571102,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-1,,,02
001571103,,,CRSS EDUC 1300,,0015711,,homeroom,LIBR,024901001,024901-1,,,03
001571104,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-1,,,04
001571105,,,CRSS EDUC 1300,,0015711,,homeroom,LIBR,024901001,024901-1,,,05
001571106,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-1,,,06
001571107,,,CRSS EDUC 1300,,0015711,,homeroom,LIBR,024901001,024901-1,,,07
001571108,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-1,,,08
001571111,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-2,,,01
001571112,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-2,,,02
001571113,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-2,,,03
001571114,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-2,,,04
001571115,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-2,,,05
001571116,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-2,,,06
001571117,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-2,,,07
001571118,,,CRSS EDUC 1300,,0015711,,scheduled,LIBR,024901001,024901-2,,,08
001571201,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-1,,,01
001571202,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-1,,,02
001571203,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-1,,,03
001571204,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-1,,,04
001571205,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-1,,,05
001571206,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-1,,,06
001571207,,,PSYCHOLOGY 2301,,0015712,,homeroom,LIBR,024901001,024901-1,,,07
001571208,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-1,,,08
001571211,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-2,,,01
001571212,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-2,,,02
001571213,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-2,,,03
001571214,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-2,,,04
001571215,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-2,,,05
001571216,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-2,,,06
001571217,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-2,,,07
001571218,,,PSYCHOLOGY 2301,,0015712,,scheduled,LIBR,024901001,024901-2,,,08
001571301,,,SOCIOLOGY 1301,,0015713,,scheduled,2216,024901001,024901-1,,,01
001571302,,,SOCIOLOGY 1301,,0015713,,scheduled,2216,024901001,024901-1,,,02
001571303,,,SOCIOLOGY 1301,,0015713,,scheduled,2216,024901001,024901-1,,,03
001571304,,,SOCIOLOGY 1301,,0015713,,scheduled,2216,024901001,024901-1,,,04
001571305,,,SOCIOLOGY 1301,,0015713,,scheduled,2216,024901001,024901-1,,,05
001571306,,,SOCIOLOGY 1301,,0015713,,scheduled,2216,024901001,024901-1,,,06
001571307,,,SOCIOLOGY 1301,,0015713,,scheduled,2216,024901001,024901-1,,,07
001571308,,,SOCIOLOGY 1301,,0015713,,scheduled,2216,024901001,024901-1,,,08
001572006,,,HPRS 2302,,0015720,,scheduled,LIBR,024901001,024901-2,,,06
001572016,,,HPRS 2302,,0015720,,scheduled,LIBR,024901001,024901-2,,,06
001572402,,,PRIN OF APP ENG,,0015724,,scheduled,PHS,024901001,024901-1,,,02
001573006,,,INTRO HLTH PROF,,0015730,,scheduled,LIBR,024901001,024901-1,,,06
001573016,,,INTRO HLTH PROF,,0015730,,scheduled,LIBR,024901001,024901-1,,,06
001573801,,,ROTC 3,,0015738,,scheduled,PORT,024901001,024901-3,,,01
001573802,,,ROTC 3,,0015738,,scheduled,PORT,024901001,024901-3,,,02
001573803,,,ROTC 3,,0015738,,scheduled,2216,024901001,024901-3,,,03
001573806,,,ROTC 3,,0015738,,scheduled,PORT,024901001,024901-3,,,06
001573901,,,ROTC2,,0015739,,scheduled,PORT,024901001,024901-3,,,01
001573902,,,ROTC2,,0015739,,scheduled,PORT,024901001,024901-3,,,02
001573903,,,ROTC2,,0015739,,scheduled,PORT,024901001,024901-3,,,03
001573906,,,ROTC2,,0015739,,scheduled,PORT,024901001,024901-3,,,06
001574001,,,ROTC1,,0015740,,scheduled,PORT,024901001,024901-3,,,01
001574002,,,ROTC1,,0015740,,scheduled,PORT,024901001,024901-3,,,02
001574004,,,ROTC1,,0015740,,scheduled,2216,024901001,024901-3,,,04
001574006,,,ROTC1,,0015740,,scheduled,PORT,024901001,024901-3,,,06
001574101,,,MED BIO TEC,,0015741,,scheduled,LIBR,024901001,024901-1,,,01
001574201,,,PHARMACOLOGY,,0015742,,scheduled,LIBR,024901001,024901-1,,,01
001580001,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-1,,,01
001580002,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-1,,,02
001580003,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-1,,,03
001580004,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-1,,,04
001580005,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-1,,,05
001580006,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-1,,,06
001580007,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-1,,,07
001580008,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-1,,,08
001580011,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-2,,,01
001580012,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-2,,,02
001580013,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-2,,,03
001580014,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-2,,,04
001580015,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-2,,,05
001580016,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-2,,,06
001580017,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-2,,,07
001580018,,,SPCH 1315,,0015800,,scheduled,LIBR,024901001,024901-2,,,08
001580105,,,PRIN OF AFNR,,0015801,,homeroom,AG,024901001,024901-3,,,05
001580207,,,LIVESTOCK PROD,,0015802,,homeroom,AG,024901001,024901-3,,,07
001580308,,,VET MED APP,,0015803,,homeroom,AG,024901001,024901-3,,,08
001580407,,,ADV ANIMIAL SCI,,0015804,,homeroom,AG,024901001,024901-3,,,07
001580501,,,CERT MED ASST,,0015805,,scheduled,LIBR,024901001,024901-2,,,01
001580601,,,PATCARETECH,,0015806,,scheduled,LIBR,024901001,024901-1,,,01
001580701,,,TECA 1311,,0015807,,scheduled,PREM,024901001,024901-1,,,01
001580801,,,CDEC 1359,,0015808,,scheduled,PREM,024901001,024901-1,,,01
001580905,,,CDEC 1313,,0015809,,scheduled,PRE,024901001,024901-2,,,05
001581003,,,PRIN OF EDTR,,0015810,,scheduled,PHS,024901001,024901-3,,,03
001581004,,,PRIN OF EDTR,,0015810,,scheduled,PCHS,024901001,024901-3,,,04
001581401,,,CDEC 1356,,0015814,,scheduled,2216,024901001,024901-2,,,01
001581402,,,CDEC 1356,,0015814,,scheduled,2216,024901001,024901-2,,,02
001581403,,,CDEC 1356,,0015814,,scheduled,2216,024901001,024901-2,,,03
001581404,,,CDEC 1356,,0015814,,scheduled,2216,024901001,024901-2,,,04
001581405,,,CDEC 1356,,0015814,,scheduled,2216,024901001,024901-2,,,05
001581406,,,CDEC 1356,,0015814,,scheduled,2216,024901001,024901-2,,,06
001581407,,,CDEC 1356,,0015814,,scheduled,2216,024901001,024901-2,,,07
001581408,,,CDEC 1356,,0015814,,scheduled,2216,024901001,024901-2,,,08
001581409,,,CDEC 1356,,0015814,,scheduled,2216,024901001,024901-2,,,09
001581503,,,CHILD GUID,,0015815,,scheduled,PHS,024901001,024901-3,,,04
001581601,,,CDEC 1358,,0015816,,scheduled,2216,024901001,024901-2,,,01
001581602,,,CDEC 1358,,0015816,,scheduled,2216,024901001,024901-2,,,02
001581603,,,CDEC 1358,,0015816,,scheduled,2216,024901001,024901-2,,,03
001581604,,,CDEC 1358,,0015816,,scheduled,2216,024901001,024901-2,,,04
001581605,,,CDEC 1358,,0015816,,scheduled,2216,024901001,024901-2,,,05
001581606,,,CDEC 1358,,0015816,,scheduled,2216,024901001,024901-2,,,06
001581607,,,CDEC 1358,,0015816,,scheduled,2216,024901001,024901-2,,,07
001581608,,,CDEC 1358,,0015816,,scheduled,2216,024901001,024901-2,,,08
001581609,,,CDEC 1358,,0015816,,scheduled,2216,024901001,024901-2,,,09
001581705,,,CDEC 1321,,0015817,,scheduled,PHS,024901001,024901-1,,,05
001581901,,,VNSG 1227,,0015819,,scheduled,LIBR,024901001,024901-1,,,01
001582006,,,ENTREPRENEURSHI,,0015820,,scheduled,2205,024901001,024901-3,,,06
001582103,,,PRIN OF BMF,,0015821,,scheduled,2205,024901001,024901-3,,,03
001582107,,,PRIN OF BMF,,0015821,,homeroom,2205,024901001,024901-3,,,07
001582108,,,PRIN OF BMF,,0015821,,scheduled,2205,024901001,024901-3,,,08
001582301,,,BUSIM1,,0015823,,homeroom,2205,024901001,024901-3,,,01
001582304,,,BUSIM1,,0015823,,scheduled,2205,024901001,024901-3,,,04
001582402,,,BUS INFO MGT 2,,0015824,,scheduled,2205,024901001,024901-3,,,02
001582501,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-1,,,01
001582502,,,BCIS 1305,,0015825,,homeroom,LIBR,024901001,024901-1,,,02
001582503,,,BCIS 1305,,0015825,,homeroom,LIBR,024901001,024901-1,,,03
001582504,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-1,,,04
001582505,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-1,,,05
001582506,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-1,,,06
001582507,,,BCIS 1305,,0015825,,homeroom,LIBR,024901001,024901-1,,,07
001582508,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-1,,,08
001582511,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-2,,,01
001582512,,,BCIS 1305,,0015825,,scheduled,LIBR,024901001,024901-2,,,02
